model,explained_variance,mean_squared_log_error,r2,MAE,MSE,RMSE,count_datapoints
ensemble,0.9924,0.0266,0.9912315047259836,8750.6,160204297.0,12657.183612478726,10.0
@covid_nl,0.9852,0.0432,0.9835064473771379,12148.0,301344520.4,17359.277646261668,10.0
@kalahiri,0.9895,0.1086,0.9893952622121475,11589.6,193753262.0,13919.52808108091,10.0
@yorickb,0.9726,0.0079,0.9696145606330261,10793.5,555155451.5,23561.737022129757,10.0
