model,explained_variance,mean_squared_log_error,r2,MAE,MSE,RMSE,count_datapoints
ensemble,0.9964,0.0494,0.9905069931663144,398053.61363636365,246618719564.6591,496607.20853070496,44.0
@covid_nl,0.994,0.0381,0.9853593689957392,485507.5909090909,380348790972.86365,616724.2422451575,44.0
@kalahiri,0.9957,0.068,0.9927014900531764,290029.14634146343,182483987836.60974,427181.4460350657,41.0
@yorickb,0.9961,0.0585,0.9902240698764168,382233.4054054054,230536280291.78378,480141.9376515488,37.0
