,explained_variance,mean_squared_log_error,r2,MAE,MSE,RMSE,count_datapoints
<<<<<<< HEAD
ensemble,0.9965,0.0158,0.9955756636891877,22370.38888888889,1404174224.6111112,37472.312773714824,18.0
divide by two,0.0349,1.612,-1.155829158403836,614752.3333333334,684206516918.2222,827167.7683023089,18.0
=======
ensemble,0.9963,0.0158,0.9952883943061936,23099.277777777777,1495346376.7222223,38669.70877472731,18.0
divide by two,0.0349,1.612,-1.1558291584038365,614752.3333333334,684206516918.2222,827167.7683023089,18.0
>>>>>>> 42fc14f209ff2394d68ef1f1f3571da24f37085d
